음식이름,음식재료,음식조리법,음식영양성분,음식이미지url
코코넛 요거트 드레싱을 곁들인 인도의 매운 옥수수 튀김,"7.1 온스 병아리 콩 가루
4.4 fl.oz 무가당 아몬드 우유
4.6 온스 통조림 옥수수 커널 (배수)
1.8 온스 붉은 양파 (미세한 깍둑 썰기)
0.5 온스 실란트로
1.5 티스푼 베이킹 파우더
마늘 정향 1 개 (으깬)
1 티스푼 커민
1 티스푼 심황 가루
1 티스푼 지상 고수풀
Chilli Flakes를 꼬집습니다
히말라야 소금을 꼬집어
0.6 fl.oz 엑스트라 버진 올리브 오일 (3 tsp)
1.1 온스 베이비 시금치 잎
코코넛 요거트 드레싱
5.3 온스 무가당 코코넛 요구르트
마늘 정향 1 개 (다진)
0.5 티스푼 말린 민트","지침
병아리 콩 가루, 옥수수 커널, 붉은 양파, 실란트로, 베이킹 파우더, 마늘, 커민, 심황, 지상 고수풀, 칠리 플레이크 및 히말라야 소금을 그릇에 섞습니다.
아몬드 우유를 붓고 잘 결합하십시오
높은 열에 큰 프라이팬에 올리브 오일을 가열하고 튀김 팬에 2 큰 스푼의 반죽을 퍼냅니다.튀김을 양쪽에서 또는 황금빛 갈색까지 3-4 분 동안 요리하십시오.모든 반죽이 사용될 때까지 계속하십시오.시금치 잎을 3 개의 그릇 사이에 나누고 튀김을 정상에 제공합니다.
코코넛 요거트 드레싱을 만들려면 코코넛 요거트, 마늘, 말린 민트 및 소금을 그릇에 넣으십시오.각 그릇을 나누십시오
튀김을 한 번 서빙하고 다음날 식사를 위해 나머지를 냉장 보관하십시오.
즐기다","서빙 크기 249g
칼로리 452 Cal
단백질 17.03g
지방, 총 21.17g
- 포화 된 11.62g
탄수화물 40.11g
- 설탕 7.54g
식이 섬유 16.68g
나트륨 615.25mg",https://cdn.f45training.com/strapi/uploads/2020/05/15130225/indian-spiced-corn-fritters.jpg
코코넛 날짜 공,"9.6 온스 Medjool 날짜 (구덩이)
1.8 온스 건조 코코넛
0.7 fl.oz 코코넛 오일
10G 건조 코코넛 (코팅)","지침
3-4 분 동안 날짜를 물에 담그십시오
물을 배수하고 날짜를 푸드 프로세서로 옮깁니다.
모든 성분이 함께 결합 될 때까지 코코넛 오일과 건조 코코넛과 블리츠를 추가하십시오.
혼합물을 나누어 5 개의 공을 만들어 손바닥에 혼합물을 굴려
코코넛에 각 공을 굴려 코팅하십시오
서빙하기 전에 30 분 -60 분 동안 공을 냉장 보관하십시오","서빙 크기 70g
칼로리 254 Cal
단백질 1.8g
지방, 총 11.7g
- 포화 10.3g
탄수화물 36.4g
- 설탕 36.3g
나트륨 3.4mg",https://cdn.f45training.com/strapi/uploads/2020/05/12143123/shutterstock_172228658.jpg
베리 설탕에 절인 초콜릿 치아 푸딩,"5.1 fl.oz 무가당 아몬드 우유
3.6 온스 무가당 코코넛 요구르트
0.2 온스 카카오 분말
0.2 fl.oz 메이플 시럽 (1 tsp)
1.6 온스 치아 씨앗
1.5 온스 냉동 라즈베리 (베리 소장품)
2.2 온스 냉동 블랙 베리 (베리 소장품)
1.5 온스 냉동 블루 베리 (베리 소장품)
0.25 티스푼 바닐라 추출물 (베리 소장품)","지침
아몬드 우유, 치아 씨, 메이플, 요거트 및 카카오 가루를 항아리에 넣고 잘 결합하십시오.
Chia Pudding이 잘 결합되면 밤새 또는 1-2 시간을 설정합니다.
아침에 베리 소문품 성분을 1-2 분 동안 저열로 냄비에 첨가하십시오.
Berry 서약으로 Chia Pudding을 얹고 서빙하십시오.","서빙 크기 459g
칼로리 450 cal
단백질 22.89g
지방, 총 21.22g
- 포화 5.89g
탄수화물 54.05g
- 설탕 31.6g
나트륨 149mg",https://cdn.f45training.com/strapi/uploads/2020/05/07143616/chocolate-chia-pudding-with-berry-compote.jpg
키프로스 검은 눈 콩 샐러드,"2.2 온스 검은 눈 콩 (요리되지 않은)
22 fl.oz 물
1.8 온스 실버 비트
0.8 온스 파슬리 (다진)
1.5 온스 Halloumi 치즈 (큐브)
3.5 온스 빨간 피망, 깍둑 썰기
0.9 온스 붉은 양파 (깍둑 썰기)
1 히말라야 소금을 꼬집어
0.4 fl.oz 엑스트라 버진 올리브 오일
0.5 fl.오즈 레몬 주스, 갓 짜낸","지침
중간 열에 냄비에 물을 끓여서 검은 눈 콩과 소금을 45-60 분 동안 또는 콩이 부드러워 질 때까지 은색으로 요리하십시오.일단 요리하면 콩을 옆으로 식히십시오
파슬리, 할로우미, 양파 및 고추를 샐러드 그릇에 추가하십시오.
검은 눈 콩을 섞습니다
드레싱 재료를 별도로 섞고 샐러드 위에 붓고 잘 섞습니다.
그릇에 서빙하십시오","서빙 크기 270g
칼로리 446 Cal
단백질 24.6g
지방, 총 20.3g
- 포화 8.4g
탄수화물 40.7g
- 설탕 8.9g
나트륨 745mg",https://cdn.f45training.com/strapi/uploads/2020/05/07113307/bean-salad.jpg
"풍성한 쇠고기 캐서롤, 뿌리 야채 매쉬","10 온스 마른 쇠고기 스트립 (생, 다진)
0.3 fl.oz 엑스트라 버진 올리브 오일 (쇠고기 준비)
1 큰술의 말린 백리향
1 큰술 건조 로즈마리
1 히말라야 소금과 후추를 꼬집어
1.6 온스 갈색 양파 (깍둑 썰기)
1.8 온스 당근 (잘린)
1.8 온스 셀러리 (깍둑 썰기)
마늘 정향 2 개 (으깬)
2.1 fl.oz 감소 된 소금 액체 쇠고기 스톡
2.2 온스 통조림 분쇄 토마토
0.3 fl.oz 엑스트라 버진 올리브 오일
4.3 온스 흰색 감자 (요리되지 않은, 잘게 썬)
4.3 온스 고구마 (요리되지 않은, 잘게 썬)","지침
올리브 오일, 로즈마리 및 백리향으로 쇠고기를 뿌려서 처음 시작하십시오.
중간 온도에 대한 비 스틱 냄비에 올리브 오일을 가열하고 양파와 마늘을 몇 분 동안 볶습니다.당근, 셀러리 및 뿌려진 쇠고기를 넣고 몇 분 동안 잘 저어줍니다.
쇠고기 스톡과 으깬 토마토를 넣고 30-45 분 동안 또는 부드러워 질 때까지 저열로 끓입니다.소금과 후추로 간을 맞춘다
한편, 감자와 고구마를 끓는 바구니에 끓는 물 위에 부드러워 질 때까지 요리하십시오.준비가되면 올리브 오일과 소금으로 포크 또는 매시 시즌을 사용하여 그릇으로 옮기고 매쉬하십시오.
뿌리 야채 매쉬와 함께 쇠고기 캐서롤을 제공하십시오
내일의 남은 음식을 냉장 보관하십시오","서빙 크기 418g
칼로리 448 Cal
단백질 36.5g
지방, 총 20.5g
- 포화 7.2g
탄수화물 24.9g
- 설탕 7g
나트륨 308.4mg",https://cdn.f45training.com/strapi/uploads/2020/05/04132014/hearty-beef-casserole.jpg
"치킨 파르 미지 아나, 뿌리 야채 매쉬 및 브로콜리","2 x 4.5oz 필렛
7.1 온스 Desiree Potato (껍질과 잘게 썬)
5.7 온스 고구마 (껍질을 벗기고 깍둑 썰기)
1 히말라야 소금을 꼬집어
0.5 fl.oz 엑스트라 버진 올리브 오일 (2.5 tsp.)
4.3 온스 브로콜리 (Florets)
2.5 온스 체다 치즈 (파쇄)
3.2 온스 통조림 분쇄 토마토
2 티스푼 말린 바질","지침
오븐을 392F로 예열하고 베이킹 트레이에 베이킹 페이퍼로 줄이납니다.닭 가슴살을 트레이에 놓고 10 분 동안 굽습니다.
10 분 후, 오븐에서 닭고기를 꺼내어 으깬 토마토, 바질, 치즈로 윗면으로 2-4 분 동안 굽고 토핑이 녹아 닭고기가 익을 때까지 굽습니다.
한편 감자, 고구마 및 브로콜리를 끓는 물 위에 김이 나는 바구니로 요리하십시오.준비가되면 감자를 그릇에 옮기고 포크 또는 매시를 사용하여 으깨십시오.
올리브 오일과 소금으로 양념하십시오
브로콜리와 뿌리 야채 매쉬와 함께 치킨 파르 미지 아나를 제공하십시오.
내일의 남은 음식을 냉장 보관하십시오","서빙 크기 459g
칼로리 443 Cal
단백질 43g
지방, 총 16.6g
- 포화 7.2g
탄수화물 25.7g
- 설탕 8.8g
나트륨 665mg",https://cdn.f45training.com/strapi/uploads/2020/05/04125605/healthy-chicken-parmigiana-root-getable-mash-broccoli.jpg
매운 토마토 소스를 곁들인 호박 파스타,"11 온스 호박 (나선형)
12 온스 통조림 다진 토마토
1.8 온스 갈색 양파 (깍둑 썰기)
100g 빨간 피망
1.8 온스 감소 지방 페타 치즈
3.2 온스 냉동 녹색 완두콩 (해동)
1 티스푼 칠리 플레이크
0.2 fl.oz 엑스트라 버진 올리브 오일 (1 tsp.)
2 티스푼 말린 바질
마늘 정향 1 개 (으깬)
후추와 히말라야 소금","지침
중간 열에 냄비에 올리브 오일을 가열하고 양파를 마늘로 1 분간 볶습니다.
고추, 녹색 완두콩을 섞어 몇 분 동안 요리합니다.
통조림 토마토, 바질, 고추 및 히말라야 소금과 후추의 꼬집음을 넣고 10-15 분 동안 저열로 끓인다.
호박을 그릇에 넣고 상단 위에 파스타 소스를 추가하십시오.
페타 치즈를 상단 위에 뿌리고 서빙하십시오","서빙 크기 956g
칼로리 449 Cal
단백질 31.7g
지방, 총 16.6g
- 포화 7g
탄수화물 33.9g
- 설탕 27.7g
나트륨 859mg",https://cdn.f45training.com/strapi/uploads/2020/04/28162456/shutterstock_554693470.jpg
뿌리 야채 매쉬로 천천히 익힌 멕시코 당김 돼지 고기,"280g 생 돼지 고기 다진
240g 감자, 껍질을 벗기고 큐브로 자릅니다
160g 고구마, 껍질을 벗기고 큐브로 자릅니다
히말라야 소금을 꼬집어
0.3 fl.oz 엑스트라 버진 올리브 오일
50g 갈색 양파, 잘게 썬다
40g 빨간 피망
마늘 정향 2 개, 다진
1 tsp.고추 가루
1 tsp.파프리카
1 tsp.커민
0.5fl.오즈 라임 주스, 갓 짜낸
160G 통조림으로 분쇄 된 토마토
5.4fl.오즈 액체 닭고기 스톡 (감소 된 소금)
0.2 fl.oz 엑스트라 버진 올리브 오일","지침
멕시코 돼지 고기 소스를 만들고, 중간 온도에 대한 스틱 팬에 올리브 오일을 가열하여 양파와 마늘을 몇 분 동안 볶음으로써 시작하십시오.향기가 향기 될 때까지 1 분 동안 향신료를 추가하십시오.
돼지 고기 마인지를 끊고 갈색으로 시작할 때까지 몇 분 동안 요리합니다.
분쇄 된 토마토, 닭고기, 라임 주스 및 캡시 쿰을 넣으십시오.높은 열로 가져간 다음 10-15 분 동안 끓인다.히말라야 소금으로 맛을 맛보십시오
한편 감자와 고구마를 끓는 바구니에 끓는 물 위에 부드러워 질 때까지 요리하십시오.준비가되면 포크 또는 감자 으깨기로 으깨십시오.올리브 오일과 히말라야 소금으로 양념하십시오
식사를 2 인분으로 나누고, 멕시코 돼지 고기를 으깨고 내일 남은 음식을 냉장 보관하십시오.","서빙 크기 546g
칼로리 451 Cal
단백질 33.8g
지방, 총 21.2g
- 포화 7.3g
탄수화물 29g
- 설탕 11.8g
나트륨 499.6mg",https://cdn.f45training.com/strapi/uploads/2020/04/28113331/slow-ced-mexican-pork-with-root-getable-mash.jpg
인도의 매운 양고기 카레와 현미,"11 온스 큐브 양고기 (생)
0.2 fl.oz 엑스트라 버진 올리브 오일 (1 tsp.)
1.6 온스 갈색 양파 (깍둑 썰기)
마늘 정향 2 개 (으깬)
0.2 온스 붉은 고추 (미세하게 다진)
3 티스푼 가람 마살라
0.5 티스푼 심황
0.5 티스푼 육두구
0.5 티스푼 계피
7.1 온스 통조림 분쇄 토마토
1 히말라야 소금을 꼬집어
2.9 온스 현미 (요리되지 않은)
6.8 fl.oz 물 (쌀 용)
2.5 온스 흰 감자 (큐브)
2.2 온스 콜리 플라워 (Florets)
2.2 온스 녹두","지침
중간 열에 큰 냄비에 올리브 오일을 가열하고 부드러운 양파와 마늘을 볶습니다.
양고기, 붉은 고추, 가람 마살라, 심황, 육두구, 계피 및 소금을 넣고 향기가 나올 때까지 4-5 분 더 요리하십시오.
분쇄 된 토마토를 넣고 두껍게되기 시작할 때까지 20 분 동안 끓인다.소금으로 계절
중간 냄비에 물을 끓입니다.쌀을 첨가 한 다음 열을 낮은 끓인다.약 18-20 분 동안 또는 쌀이 부드러워 질 때까지 밥을 요리하십시오.열에서 냄비를 제거하고 약 5 분 동안 밥을 덮게하십시오.
감자, 콜리 플라워 및 녹두를 끓는 바구니에 끓는 물 위에 부드러워 질 때까지 요리하십시오.
카레, 야채, 현미를 결합하고 봉사하십시오.
내일의 남은 음식을 냉장 보관하십시오.","서빙 크기 519g
칼로리 443 Cal
단백질 39.86g
지방, 총 11.31g
- 포화 된 3.3g
탄수화물 42.09g
- 설탕 8.38g
나트륨 198.22mg",https://cdn.f45training.com/strapi/uploads/2020/04/27164531/indian-piced-spiced-lamb-curry-brown-rice.jpg
심황 아몬드 죽,"1.8 온스 롤 귀리 (생)
5.1 fl.oz 물
1.8 온스 냉동 라즈베리
0.4 온스 생 아몬드
0.4 온스 호박 종자
0.4 온스 메밀 wheat groats
0.25 티스푼 심황
0.25 티스푼 계피
0.2 fl.oz 꿀
0.8 온스 PI 영양 유청 분리 (선택의 맛) 또는 식물 기반 대안 (유청 또는 비건 채식)","지침
중간 온도에서 냄비에 물을 끓입니다
귀리, 메밀, 심황, 계피 및 꿀을 첨가하고 3-5 분 동안 익힐 때까지 저어줍니다.
아몬드, 호박 씨앗 및 라즈베리를 저어주고 열에서 제거하십시오.
제공하다","서빙 크기 309g
칼로리 453 Cal
단백질 31.5g
지방, 총 15.4g
- 포화 2.4g
탄수화물 41.5g
- 설탕 5.9g
나트륨 43.8mg
섬유 10.4g",https://cdn.f45training.com/strapi/uploads/2020/04/27140424/turmeric-oat.jpg
