음식이름,음식재료,음식조리법,음식영양성분,음식이미지url
Tomato and Black Bean Quinoa Casserole,"7.1 ounce chickpea flour
4.4 fl.oz unsweetened almond milk
4.6 ounce canned corn kernels (drained)
1.8 ounce red onion (finely diced)
0.5 oz cilantro
1.5 Teaspoon baking powder
1 garlic clove (crushed)
1 Teaspoon cumin
1 Teaspoon turmeric powder
1 Teaspoon Ground coriander
Pinch chilli flakes
Pinch Himalayan salt
0.6 fl.oz extra virgin olive oil (3 tsp)
1.1 ounce baby spinach leaves
COCONUT YOGURT DRESSING
5.3 ounce unsweetened coconut yoghurt
1 garlic clove (minced)
0.5 Teaspoon dried mint","INSTRUCTIONS
Combine in a bowl the chickpea flour, corn kernels, red onion, cilantro, baking powder, garlic, cumin, turmeric, ground coriander, chili flakes and Himalayan salt
Pour in the almond milk and combine well
Heat olive oil in a large skillet over high heat and scoop two tablespoons of batter into the fry pan. Cook the fritters for three-four minutes on each side or until golden brown. Continue until all the batter has been used. Divide the spinach leaves between three bowls and serve the fritters on top
To make the Coconut Yogurt Dressing, place coconut yogurt, garlic, dried mint and salt in a bowl. Divide between each bowl
Serve one serving of fritters and refrigerate the remaining for the following day's meals
Enjoy
 ","Serving size 249g
Calories 452 cal
Protein 17.03g
Fat, total 21.17g
- saturated 11.62g
Carbohydrate 40.11g
- sugars 7.54g
Dietary Fibre 16.68g
Sodium 615.25mg",https://cdn.f45training.com/strapi/uploads/2020/05/15130225/Indian-spiced-corn-fritters.jpg
Tomato and Black Bean Quinoa Casserole,"5.1 fl.oz unsweetened almond milk
3.6 ounce unsweetened coconut yoghurt
0.2 ounce cacao powder
0.2 fl.oz maple syrup (1 tsp)
1.6 ounce chia seeds
1.5 ounce frozen raspberry (berry compote)
2.2 ounce frozen blackberries (berry compote)
1.5 ounce frozen blueberries (berry compote)
0.25 Teaspoon vanilla extract (berry compote)","INSTRUCTIONS
Add the almond milk, chia seeds, maple, yogurt, and cacao powder into a jar and combine well
Once the chia pudding is well combined, refrigerate overnight or 1-2 hours to set
In the morning, add the berry compote ingredients to a saucepan over low heat for 1-2 minutes
Top the chia pudding with the berry compote and serve.","Serving size 459g
Calories 450 cal
Protein 22.89g
Fat, total 21.22g
- saturated 5.89g
Carbohydrate 54.05g
- sugars 31.6g
Sodium 149mg",https://cdn.f45training.com/strapi/uploads/2020/05/07143616/Chocolate-Chia-Pudding-with-Berry-Compote.jpg
Tomato and Black Bean Quinoa Casserole,"2.2 ounce black-eyed beans (uncooked)
22 fl.oz water
1.8 ounce silverbeet
0.8 ounce parsley (chopped)
1.5 ounce halloumi cheese (cubed)
3.5 oz red bell pepper, diced
0.9 ounce red onion (diced)
1 Pinch Himalayan salt
0.4 fl.oz extra virgin olive oil
0.5 fl. oz lemon juice, freshly squeezed","INSTRUCTIONS
Bring water to boil in a saucepan over medium heat and cook the black-eyed beans and silverbeet with salt for 45-60 minutes or until the beans have softened. Once cooked set the beans aside to cool
Add the parsley, halloumi, onion, and capsicum into a salad bowl
Mix in the black-eyed beans
Separately combine the dressing ingredients, and pour over the salad and combine well
Serve in a bowl","Serving size 270g
Calories 446 cal
Protein 24.6g
Fat, total 20.3g
- saturated 8.4g
Carbohydrate 40.7g
- sugars 8.9g
Sodium 745mg",https://cdn.f45training.com/strapi/uploads/2020/05/07113307/bean-salad.jpg
Tomato and Black Bean Quinoa Casserole,"10 ounce lean beef strips (raw, diced)
0.3 fl.oz extra virgin olive oil (to prepare the beef)
1 Tablespoon dried thyme
1 Tablespoon dried rosemary
1 Pinch himalayan salt & pepper
1.6 ounce brown onion (diced)
1.8 ounce carrot (diced)
1.8 ounce celery (diced)
2 garlic clove (crushed)
2.1 fl.oz reduced salt liquid beef stock
2.2 ounce canned crushed tomatoes
0.3 fl.oz extra virgin olive oil
4.3 ounce white potato (uncooked, diced)
4.3 ounce sweet potato (uncooked, diced)","INSTRUCTIONS
Begin first by marinating the beef with olive oil, rosemary, and thyme
Heat olive oil in a non-stick pot over medium temperature and saute the onion and garlic for a few minutes. Add the carrot, celery, and diced beef and cook for several minutes stirring well
Add the beef stock and crushed tomatoes and simmer on low heat for 30-45 minutes or until tender. Season with salt and pepper
Meanwhile, cook the potato and sweet potato in a steaming basket over boiling water until softened. Once ready, transfer to a bowl and mash using a fork or masher Season with olive oil and salt
Serve the beef casserole alongside the root vegetable mash
Refrigerate the leftovers for tomorrow","Serving size 418g
Calories 448 cal
Protein 36.5g
Fat, total 20.5g
- saturated 7.2g
Carbohydrate 24.9g
- sugars 7g
Sodium 308.4mg",https://cdn.f45training.com/strapi/uploads/2020/05/04132014/Hearty-Beef-Casserole.jpg
Tomato and Black Bean Quinoa Casserole,"2 x 4.5oz fillets
7.1 ounce Desiree potato (peeled and diced)
5.7 ounce sweet potato (peeled and diced)
1 Pinch Himalayan salt
0.5 fl.oz extra virgin olive oil (2.5 tsp.)
4.3 ounce broccoli (florets)
2.5 ounce cheddar cheese (shredded)
3.2 ounce canned crushed tomatoes
2 Teaspoon dried basil","INSTRUCTIONS
Pre-heat oven to 392F and line a baking tray with baking paper. Place the chicken breast on the tray and bake for 10 minutes.
After 10 minutes, remove the chicken from the oven and top with the crushed tomatoes, basil and cheese and bake for another 2-4 minutes or until the topping has melted and the chicken is cooked through
Meanwhile cook the potato, sweet potato, and broccoli in a steaming basket over boiling water. Once ready, transfer the potato to a bowl and mash using a fork or masher
Season with olive oil and salt
Serve the chicken parmigiana alongside the broccoli and root vegetable mash
Refrigerate the leftovers for tomorrow","Serving size 459g
Calories 443 cal
Protein 43g
Fat, total 16.6g
- saturated 7.2g
Carbohydrate 25.7g
- sugars 8.8g
Sodium 665mg",https://cdn.f45training.com/strapi/uploads/2020/05/04125605/Healthy-Chicken-Parmigiana-Root-Vegetable-Mash-Broccoli.jpg
Tomato and Black Bean Quinoa Casserole,"11 ounce zucchini (spiralised)
12 ounce canned diced tomatoes
1.8 ounce brown onion (diced)
100g red bell pepper
1.8 ounce reduced fat feta cheese
3.2 ounce frozen green peas (thawed)
1 Teaspoon chilli flakes
0.2 fl.oz extra virgin olive oil (1 tsp.)
2 Teaspoon dried basil
1 garlic clove (crushed)
Pinch pepper and himalayan salt","INSTRUCTIONS
Heat olive oil in a saucepan over medium heat and saute the onion with garlic for a minute
Mix in the capsicum, green peas and cook for a few minutes
Add the canned tomatoes, basil, chilli and pinch of Himalayan salt and pepper and simmer on low heat for 10-15 minutes
Add the zucchini into a bowl and add the pasta sauce over the top
Sprinkle feta cheese over the top and serve","Serving size 956g
Calories 449 cal
Protein 31.7g
Fat, total 16.6g
- saturated 7g
Carbohydrate 33.9g
- sugars 27.7g
Sodium 859mg",https://cdn.f45training.com/strapi/uploads/2020/04/28162456/shutterstock_554693470.jpg
Tomato and Black Bean Quinoa Casserole,"280g raw pork mince
240g potato, peeled, cut into cubes
160g sweet potato, peeled, cut into cubes
pinch Himalayan salt
0.3 fl.oz extra virgin olive oil
50g brown onion, diced
40g red bell pepper
2 garlic cloves, minced
1 tsp. chilli powder
1 tsp. paprika
1 tsp. cumin
0.5fl. oz lime juice, freshly squeezed
160g canned crushed tomatoes
5.4fl. oz liquid chicken stock (reduced salt)
0.2 fl.oz extra virgin olive oil","INSTRUCTIONS
Begin first by making the Mexican pork sauce, by heating olive oil in a non-stick pan over medium temperature and saute the onion and garlic for a few minutes. Add the spices stirring for 1 minute until they become fragrant
Add the pork mince breaking it up and cook for a few minutes until it starts to brown
Add the crushed tomatoes, chicken stock, lime juice, and capsicum. Bring to high heat and then let simmer for 10-15 minutes. Season with Himalayan salt to taste
Meanwhile cook the potato and sweet potato in a steaming basket over boiling water until soft. Once ready, mash with a fork or potato masher. Season with olive oil and Himalayan salt
Dividing the meal into two serves, serve the Mexican pork alongside the mash and refrigerate the leftover for tomorrow","Serving size 546g
Calories 451 cal
Protein 33.8g
Fat, total 21.2g
- saturated 7.3g
Carbohydrate 29g
- sugars 11.8g
Sodium 499.6mg",https://cdn.f45training.com/strapi/uploads/2020/04/28113331/Slow-Cooked-Mexican-Pork-with-Root-Vegetable-Mash.jpg
Tomato and Black Bean Quinoa Casserole,"185g canned tuna in water
60g canned corn kernels
40g cherry tomatoes
70g arugula
20ml balsamic vinegar
20ml olive oil
pinch Himalayan salt","INSTRUCTIONS
In a bowl, add the rocket leaves, corn, cherry tomatoes, and tuna
Seperately combine the dressing ingredients.
Dress the salad and serve","Serving size 340g
Calories 442 cal
Protein 41.05g
Fat, total 23.2g
- saturated 4.1g
Carbohydrate 15.5g
- sugars 7.06g
Sodium 345mg",https://cdn.f45training.com/strapi/uploads/2020/04/28103132/Italian-Tuna-Corn-Salad-Wild-Rocket-Balsamic-Dressing.jpg
Tomato and Black Bean Quinoa Casserole,"11 ounce cubed lamb (raw)
0.2 fl.oz extra virgin olive oil (1 tsp.)
1.6 ounce brown onion (diced)
2 garlic clove (crushed)
0.2 ounce red chilli (finely chopped)
3 Teaspoon garam masala
0.5 Teaspoon turmeric
0.5 Teaspoon nutmeg
0.5 Teaspoon cinnamon
7.1 ounce canned crushed tomatoes
1 Pinch Himalayan salt
2.9 ounce brown rice (uncooked)
6.8 fl.oz water (for rice)
2.5 ounce white potato (cubed)
2.2 ounce cauliflower (florets)
2.2 ounce green beans (ends trimmed, chopped)","INSTRUCTIONS
Heat olive oil in a large pot over medium heat and saute the onion and garlic until soft
Add the lamb, red chilli, garam masala, turmeric, nutmeg, cinnamon and salt and cook for a further 4-5 minutes until it becomes fragrant.
Add the crushed tomatoes and simmer for 20 minutes until it starts to thicken and the lamb is cooked to your liking. Season with salt
Bring water to a boil in a medium saucepan. Add rice, then turn the heat down to a low simmer. Cook the rice, covered, for about 18-20 minutes or until rice is tender and has absorbed the water. Remove the saucepan from heat and let the rice sit, covered, for about five minutes
Cook the potato, cauliflower, and green beans in a steaming basket over boiling water until softened
Combine the curry, vegetables and brown rice and serve
Refrigerate the leftovers for tomorrow.","Serving size 519g
Calories 443 cal
Protein 39.86g
Fat, total 11.31g
- saturated 3.3g
Carbohydrate 42.09g
- sugars 8.38g
Sodium 198.22mg",https://cdn.f45training.com/strapi/uploads/2020/04/27164531/Indian-Spiced-Lamb-Curry-Brown-Rice.jpg
Tomato and Black Bean Quinoa Casserole,"1.8 ounce rolled oats (raw)
5.1 fl.oz water
1.8 ounce frozen raspberry
0.4 ounce raw almond
0.4 ounce pumpkin seed
0.4 ounce buckwheat groats
0.25 Teaspoon turmeric
0.25 Teaspoon cinnamon
0.2 fl.oz honey
0.8 ounce PI Nutrition Whey Isolate (flavor of choice) or plant based alternative (whey or vegan)","INSTRUCTIONS
Boil water in a saucepan over medium temperature
Add in the oats, buckwheat, turmeric, cinnamon, and honey and stir until cooked for 3-5 minutes
Stir through the almonds, pumpkin seeds and raspberries and remove from the heat
Serve","Serving size 309g
Calories 453 cal
Protein 31.5g
Fat, total 15.4g
- saturated 2.4g
Carbohydrate 41.5g
- sugars 5.9g
Sodium 43.8mg
Fibre 10.4g",https://cdn.f45training.com/strapi/uploads/2020/04/27140424/turmeric-oat.jpg
